osmid,y,x,street_count,highway,geometry
269093437,51.5101398,-3.1556622,3,,POINT (-3.1556622 51.5101398)
269093471,51.5090059,-3.1566138,3,,POINT (-3.1566138 51.5090059)
269093496,51.5102878,-3.1577141,3,,POINT (-3.1577141 51.5102878)
269093498,51.5101,-3.1580801,3,,POINT (-3.1580801 51.5101)
269093813,51.5140164,-3.1530711,3,,POINT (-3.1530711 51.5140164)
269937523,51.5052878,-3.1249765,1,,POINT (-3.1249765 51.5052878)
269937540,51.5054294,-3.1244279,3,,POINT (-3.1244279 51.5054294)
269937557,51.5059421,-3.1234107,1,,POINT (-3.1234107 51.5059421)
269937570,51.5054256,-3.1230461,1,,POINT (-3.1230461 51.5054256)
269937572,51.5044901,-3.1227264,3,,POINT (-3.1227264 51.5044901)
269937590,51.5058407,-3.1227693,1,,POINT (-3.1227693 51.5058407)
269937591,51.5060341,-3.1219768,3,,POINT (-3.1219768 51.5060341)
269937594,51.5063926,-3.1212451,3,,POINT (-3.1212451 51.5063926)
269937596,51.5069689,-3.1210319,3,,POINT (-3.1210319 51.5069689)
269937597,51.5081312,-3.1208848,3,,POINT (-3.1208848 51.5081312)
269937599,51.5061891,-3.1201494,3,,POINT (-3.1201494 51.5061891)
269937601,51.5052593,-3.1221838,1,,POINT (-3.1221838 51.5052593)
269937603,51.5052063,-3.1208345,3,,POINT (-3.1208345 51.5052063)
269937606,51.5069368,-3.1224688,3,,POINT (-3.1224688 51.5069368)
269937609,51.5065858,-3.1247933,3,,POINT (-3.1247933 51.5065858)
269937652,51.5070187,-3.1220801,3,,POINT (-3.1220801 51.5070187)
269937655,51.5074864,-3.1220368,3,,POINT (-3.1220368 51.5074864)
269937656,51.5081703,-3.1219665,3,,POINT (-3.1219665 51.5081703)
269937662,51.5075496,-3.1230119,1,,POINT (-3.1230119 51.5075496)
269937663,51.50834,-3.1238958,3,,POINT (-3.1238958 51.50834)
269937675,51.508121,-3.1197365,3,,POINT (-3.1197365 51.508121)
269937676,51.5072164,-3.1243501,3,,POINT (-3.1243501 51.5072164)
269937678,51.507087,-3.1234004,1,,POINT (-3.1234004 51.507087)
269937715,51.5103489,-3.1225305,3,,POINT (-3.1225305 51.5103489)
269937717,51.5107031,-3.1222432,3,,POINT (-3.1222432 51.5107031)
269937729,51.5100997,-3.1208828,1,,POINT (-3.1208828 51.5100997)
276255869,51.5019621,-3.2255768,3,mini_roundabout,POINT (-3.2255768 51.5019621)
281971662,51.484888,-3.1708298,1,,POINT (-3.1708298 51.484888)
281971755,51.4853673,-3.1695428,1,,POINT (-3.1695428 51.4853673)
281972028,51.488813,-3.17161,3,,POINT (-3.17161 51.488813)
281973070,51.4931363,-3.1689008,1,,POINT (-3.1689008 51.4931363)
286573000,51.4590626,-3.1878468,2,,POINT (-3.1878468 51.4590626)
287694594,51.4481024,-3.1965254,3,,POINT (-3.1965254 51.4481024)
287694596,51.4482677,-3.1961837,3,,POINT (-3.1961837 51.4482677)
287694800,51.4482273,-3.196995,3,,POINT (-3.196995 51.4482273)
287694804,51.4488026,-3.1973384,1,,POINT (-3.1973384 51.4488026)
287695339,51.4471357,-3.1931331,3,,POINT (-3.1931331 51.4471357)
287695348,51.4475371,-3.1920762,3,,POINT (-3.1920762 51.4475371)
287695353,51.4480632,-3.1919087,3,,POINT (-3.1919087 51.4480632)
287695354,51.4481957,-3.1921595,3,,POINT (-3.1921595 51.4481957)
287695358,51.4482689,-3.192876,3,,POINT (-3.192876 51.4482689)
287695368,51.4485294,-3.1941061,3,,POINT (-3.1941061 51.4485294)
287695511,51.450539,-3.1989532,3,,POINT (-3.1989532 51.450539)
287696020,51.4504001,-3.2010795,1,,POINT (-3.2010795 51.4504001)
287696304,51.44968,-3.1993604,1,,POINT (-3.1993604 51.44968)
287696416,51.4500956,-3.2001084,3,,POINT (-3.2001084 51.4500956)
287696748,51.4532954,-3.2037923,1,,POINT (-3.2037923 51.4532954)
287941445,51.5123328,-3.2296044,3,,POINT (-3.2296044 51.5123328)
287941472,51.5125168,-3.2282311,3,,POINT (-3.2282311 51.5125168)
287941710,51.5087072,-3.2287798,2,,POINT (-3.2287798 51.5087072)
287941796,51.5086276,-3.2277755,3,crossing,POINT (-3.2277755 51.5086276)
287941972,51.5113674,-3.2326944,3,,POINT (-3.2326944 51.5113674)
287941974,51.5089758,-3.2312264,3,,POINT (-3.2312264 51.5089758)
