u,v,key,osmid,highway,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction,Groups
122130603,122290403,0,13249256,residential,West 18th Street North,False,True,108.63405950216324,108.63405950216324,1.8259034522293016,0.0053556084809421,"LINESTRING (-97.341992 37.717111, -97.3418962 37.7171116, -97.3413767 37.717115, -97.3408603 37.7171183, -97.340757 37.717119)",,,,,,,,C
122130603,122130606,0,500852878,tertiary,North Waco Street,False,False,202.93333444987945,202.93333444987945,1.746358090705984,0.0004787253746238,"LINESTRING (-97.341992 37.717111, -97.3419924 37.7171797, -97.342003 37.718936)",,,,,,,,B
122130603,122130595,0,500852878,tertiary,North Waco Street,False,True,202.94605084914923,202.9460508491492,1.8243076759355108,0.0001408357610978,"LINESTRING (-97.341992 37.717111, -97.3419916 37.7170349, -97.341987 37.716282, -97.3419687 37.7153726, -97.341967 37.715286)",,,,,,,,B
122130606,122205781,0,13242677,residential,West 19th Street North,False,False,111.18125112390524,111.18125112390524,1.7522332427061338,0.0012325126508863,"LINESTRING (-97.342003 37.718936, -97.3421212 37.7189353, -97.3426492 37.7189324, -97.3431646 37.7189296, -97.343267 37.718929)",,,,,,,,C
122130606,122205779,0,13242677,residential,West 19th Street North,False,True,109.1560028898922,109.1560028898922,1.77285619774333,0.000503565926607,"LINESTRING (-97.342003 37.718936, -97.3419019 37.7189362, -97.3413821 37.7189375, -97.3408665 37.7189387, -97.340762 37.718939)",,,,,,,,C
122130606,122130620,0,500852878,tertiary,North Waco Street,False,False,201.82070208231087,201.82070208231085,1.6836199037656745,0.0006900879660599,"LINESTRING (-97.342003 37.718936, -97.3420027 37.7190063, -97.341997 37.720313, -97.3419997 37.7207025, -97.342 37.720751)",,,,,,,,B
122130606,122130603,0,500852878,tertiary,North Waco Street,False,True,202.93333444987945,202.93333444987945,1.746358090705984,0.0001234764279867,"LINESTRING (-97.342003 37.718936, -97.3419924 37.7171797, -97.341992 37.717111)",,,,,,,,B
122130620,122373439,0,13254580,residential,West 20th Street North,False,True,108.18634436565158,108.18634436565156,1.7561335713712074,0.0019210753198947,"LINESTRING (-97.342 37.720751, -97.3419062 37.7207517, -97.3413875 37.7207532, -97.3408702 37.7207547, -97.34077 37.720755)",,,,,,,,C
122130620,122130606,0,500852878,tertiary,North Waco Street,False,True,201.82070208231085,201.82070208231087,1.683619903765674,0.0007681686484633,"LINESTRING (-97.342 37.720751, -97.3419997 37.7207025, -97.341997 37.720313, -97.3420027 37.7190063, -97.342003 37.718936)",,,,,,,,B
122130620,122373440,0,500852882,residential,West 20th Street North,False,False,111.88032742420378,111.88032742420376,1.7523028048034686,0.0008497357241275,"LINESTRING (-97.342 37.720751, -97.3421316 37.7207506, -97.3426498 37.7207489, -97.3431757 37.7207473, -97.343272 37.720747)",,,,,,,,C
