osmid,y,x,highway,street_count,railway,geometry
195606637,-34.6181936,-58.4273007,traffic_signals,4,,POINT (-58.4273007 -34.6181936)
195606638,-34.6268275,-58.4255557,traffic_signals,4,,POINT (-58.4255557 -34.6268275)
195609665,-34.6264977,-58.4410198,traffic_signals,3,,POINT (-58.4410198 -34.6264977)
195609666,-34.6346294,-58.4357386,traffic_signals,4,,POINT (-58.4357386 -34.6346294)
195609668,-34.6430773,-58.43269,,3,,POINT (-58.43269 -34.6430773)
195610220,-34.6244617,-58.4344503,traffic_signals,4,,POINT (-58.4344503 -34.6244617)
195610223,-34.625345,-58.4446094,,4,,POINT (-58.4446094 -34.625345)
195610224,-34.6268315,-58.4487763,,3,,POINT (-58.4487763 -34.6268315)
195611221,-34.6255832,-58.4270767,,3,,POINT (-58.4270767 -34.6255832)
195611223,-34.6295392,-58.4520885,,4,,POINT (-58.4520885 -34.6295392)
195612137,-34.6301459,-58.4482457,traffic_signals,4,,POINT (-58.4482457 -34.6301459)
195612138,-34.6306186,-58.4515836,traffic_signals,4,,POINT (-58.4515836 -34.6306186)
195615851,-34.6228167,-58.377143,motorway_junction,3,,POINT (-58.377143 -34.6228167)
195615856,-34.6226795,-58.3732509,,3,,POINT (-58.3732509 -34.6226795)
195615860,-34.6224563,-58.3690571,,3,,POINT (-58.3690571 -34.6224563)
195626913,-34.6226407,-58.3717033,motorway_junction,3,,POINT (-58.3717033 -34.6226407)
195645519,-34.599178,-58.3840481,traffic_signals,4,,POINT (-58.3840481 -34.599178)
195645552,-34.5981688,-58.3855492,traffic_signals,4,,POINT (-58.3855492 -34.5981688)
195645561,-34.5982798,-58.3869708,traffic_signals,4,,POINT (-58.3869708 -34.5982798)
195645577,-34.5970419,-58.3870627,traffic_signals,4,,POINT (-58.3870627 -34.5970419)
195645588,-34.5969655,-58.3856631,traffic_signals,4,,POINT (-58.3856631 -34.5969655)
195645616,-34.5971154,-58.388304,traffic_signals,4,,POINT (-58.388304 -34.5971154)
