osmid,y,x,street_count,highway,junction,ref,geometry
108062,51.5159191,-0.1358613,4,,,,POINT (-0.1358613 51.5159191)
108065,51.5139323,-0.1282428,3,,,,POINT (-0.1282428 51.5139323)
108070,51.5121078,-0.1382034,3,,,,POINT (-0.1382034 51.5121078)
108072,51.5130185,-0.1376622,4,,,,POINT (-0.1376622 51.5130185)
108073,51.5134685,-0.136261,3,,,,POINT (-0.136261 51.5134685)
108080,51.5059463,-0.1387144,3,,,,POINT (-0.1387144 51.5059463)
108085,51.5078203,-0.1406356,4,,,,POINT (-0.1406356 51.5078203)
108094,51.5011318,-0.1277256,3,,,,POINT (-0.1277256 51.5011318)
108097,51.4978381,-0.1339995,4,,,,POINT (-0.1339995 51.4978381)
108102,51.496846,-0.1308151,3,,,,POINT (-0.1308151 51.496846)
108103,51.4969194,-0.1293674,4,,,,POINT (-0.1293674 51.4969194)
108108,51.4969561,-0.1266409,3,,,,POINT (-0.1266409 51.4969561)
108109,51.4969854,-0.1256137,3,,,,POINT (-0.1256137 51.4969854)
108110,51.4960748,-0.1254096,3,,,,POINT (-0.1254096 51.4960748)
108111,51.4960088,-0.1265566,3,,,,POINT (-0.1265566 51.4960088)
108112,51.4948724,-0.130731,3,,,,POINT (-0.130731 51.4948724)
108118,51.497701,-0.0797796,4,,,,POINT (-0.0797796 51.497701)
108119,51.4971248,-0.0808368,3,,,,POINT (-0.0808368 51.4971248)
108120,51.4966987,-0.0818124,4,,,,POINT (-0.0818124 51.4966987)
108121,51.4959854,-0.0829124,3,,,,POINT (-0.0829124 51.4959854)
108183,51.4947937,-0.0846449,3,,,,POINT (-0.0846449 51.4947937)
108184,51.4947977,-0.0853066,3,,,,POINT (-0.0853066 51.4947977)
108186,51.494026,-0.0862054,3,,,,POINT (-0.0862054 51.494026)
108193,51.4929844,-0.1008505,3,,,,POINT (-0.1008505 51.4929844)
108195,51.4827223,-0.1116466,3,,,,POINT (-0.1116466 51.4827223)
108200,51.5238692,-0.1513038,3,,,,POINT (-0.1513038 51.5238692)
108203,51.523066,-0.1511409,4,,,,POINT (-0.1511409 51.523066)
108205,51.5232632,-0.1489463,4,,,,POINT (-0.1489463 51.5232632)
108208,51.5206913,-0.1531512,3,,,,POINT (-0.1531512 51.5206913)
108209,51.5204839,-0.1556527,4,,,,POINT (-0.1556527 51.5204839)
108210,51.5213125,-0.15308,4,,,,POINT (-0.15308 51.5213125)
108211,51.5184448,-0.1538808,4,,,,POINT (-0.1538808 51.5184448)
