osmid,y,x,highway,street_count,ref,junction,geometry
3782986212,-23.5606728,-46.6469577,,3,,,POINT (-46.6469577 -23.5606728)
3782986213,-23.5608452,-46.6469438,,3,,,POINT (-46.6469438 -23.5608452)
3783002846,-23.556457,-46.6474034,,4,,,POINT (-46.6474034 -23.556457)
3783002847,-23.5564679,-46.6466145,,3,,,POINT (-46.6466145 -23.5564679)
3791488180,-23.5135989,-46.6630724,,3,,,POINT (-46.6630724 -23.5135989)
3791589121,-23.5116821,-46.661088,,3,,,POINT (-46.661088 -23.5116821)
3791589122,-23.5120412,-46.6611524,,1,,,POINT (-46.6611524 -23.5120412)
3803349984,-23.5147454,-46.6162813,,3,,,POINT (-46.6162813 -23.5147454)
3814534891,-23.5265169,-46.6662084,,3,,,POINT (-46.6662084 -23.5265169)
3814534897,-23.5261667,-46.6686391,,3,,,POINT (-46.6686391 -23.5261667)
3814707926,-23.5805894,-46.670554,,3,,,POINT (-46.670554 -23.5805894)
3824584730,-23.5314156,-46.6257496,,3,,,POINT (-46.6257496 -23.5314156)
3824584734,-23.5314224,-46.625899,,3,,,POINT (-46.625899 -23.5314224)
3824975757,-23.5597965,-46.629705,traffic_signals,5,A-262,,POINT (-46.629705 -23.5597965)
3833363861,-23.5434154,-46.6622005,,3,,,POINT (-46.6622005 -23.5434154)
3833363862,-23.5444997,-46.6627479,,3,,,POINT (-46.6627479 -23.5444997)
3839380468,-23.5446204,-46.6610392,,4,,,POINT (-46.6610392 -23.5446204)
3841302046,-23.5524102,-46.6610345,traffic_signals,3,,,POINT (-46.6610345 -23.5524102)
3841809423,-23.5489237,-46.6593063,traffic_signals,4,,,POINT (-46.6593063 -23.5489237)
3869505931,-23.528107,-46.6129787,traffic_signals,4,,,POINT (-46.6129787 -23.528107)
3869505932,-23.5280408,-46.6131142,traffic_signals,4,,,POINT (-46.6131142 -23.5280408)
3869505933,-23.5289965,-46.6138146,traffic_signals,4,,,POINT (-46.6138146 -23.5289965)
3869505934,-23.5289502,-46.6139666,traffic_signals,4,,,POINT (-46.6139666 -23.5289502)
3869505937,-23.5299458,-46.6147166,traffic_signals,4,,,POINT (-46.6147166 -23.5299458)
3869505938,-23.5298532,-46.6148237,traffic_signals,4,,,POINT (-46.6148237 -23.5298532)
3869505941,-23.5303603,-46.6153054,,3,,,POINT (-46.6153054 -23.5303603)
