u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
122814235,122814232,0,13319209,,other,,False,True,114.81213411264989,,"LINESTRING (-118.2709128 34.0235931, -118.2698172 34.0231016)",114.81213411264989,1.7272450730541349,0.0017838264289609,West 28th Street,,,,,,C
122814235,122719187,0,"[398423682, 1001729069, 398423693, 398423686]",,secondary,"['4', '5']",False,False,168.0493121164314,35 mph,"LINESTRING (-118.2709128 34.0235931, -118.2709524 34.0235329, -118.2710662 34.0233597, -118.2714386 34.0227772, -118.2716164 34.0224992, -118.2717695 34.022259)",168.0493121164314,1.7979176453501449,0.003707598812826,Broadway,,,,,,B
122814235,122659026,0,"[398423696, 398423694]",,secondary,"['4', '5']",False,True,92.13889583384652,35 mph,"LINESTRING (-118.2709128 34.0235931, -118.2707978 34.0237611, -118.2704327 34.0243199)",92.13889583384652,1.792608681203094,0.0039632365558801,Broadway,,,,,,B
122814237,122814235,0,13319209,,other,,False,True,112.96702673486875,,"LINESTRING (-118.2719908 34.0240767, -118.2709128 34.0235931)",112.96702673486875,1.6774550255488168,0.0018422008642,West 28th Street,,,,,,C
122814237,2935827801,0,398531882,,secondary,4,False,False,91.12879509219276,30 mph,"LINESTRING (-118.2719908 34.0240767, -118.2715167 34.0247959)",91.12879509219276,1.8496745438976736,0.0073770839350382,South Hill Street,,,,,,B
122814237,122719192,0,398531882,,secondary,4,False,True,168.37387857734169,30 mph,"LINESTRING (-118.2719908 34.0240767, -118.2728666 34.0227478)",168.37387857734169,1.7114370200755744,0.0068960527488779,South Hill Street,,,,,,B
122814237,122814240,0,13319209,,other,,False,False,54.10365464981099,,"LINESTRING (-118.2719908 34.0240767, -118.2720933 34.0241227, -118.2725071 34.0243083)",54.10365464981099,1.681516276003128,0.0005564363922437,West 28th Street,,,,,,C
122814240,6813513567,0,13319209,,other,,False,False,94.41014821927952,,"LINESTRING (-118.2725071 34.0243083, -118.2733004 34.0246642, -118.273408 34.0247125)",94.41014821927952,1.4603539480757537,0.0005397579821754,West 28th Street,,,,,,C
122814240,122814237,0,13319209,,other,,False,True,54.10365464981099,,"LINESTRING (-118.2725071 34.0243083, -118.2720933 34.0241227, -118.2719908 34.0240767)",54.10365464981099,1.681516276003128,0.0021495181877474,West 28th Street,,,,,,C
122814240,122719195,0,13419454,,other,,False,False,168.5380968145045,,"LINESTRING (-118.2725071 34.0243083, -118.2725763 34.0241987, -118.2733033 34.0230461, -118.2733544 34.0229651)",168.5380968145045,1.3362440591969724,0.0001646699360265,South Olive Street,,,,,,C
